Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
9.55,3.92385e+00
9.56,4.20838e+00
9.57,3.57419e+00
9.58,3.16974e+00
9.59,3.04315e+00
9.60,2.93491e+00
9.61,2.89489e+00
9.62,2.91434e+00
9.63,3.01526e+00
9.64,3.08963e+00
9.65,2.99763e+00
9.66,2.92809e+00
9.67,3.20988e+00
9.68,5.01078e+00
9.69,1.33593e+01
9.70,3.63069e+01
9.71,4.77919e+01
9.72,2.49542e+01
9.73,7.10229e+00
9.74,3.34605e+00
9.75,2.96589e+00
9.76,2.96779e+00
9.77,3.01175e+00
9.78,3.04585e+00
9.79,3.15419e+00
9.80,3.39249e+00
9.81,3.41090e+00
9.82,3.23905e+00
9.83,3.46614e+00
9.84,4.59233e+00
9.85,5.22543e+00
9.86,4.13320e+00
9.87,3.20111e+00
9.88,3.03920e+00
9.89,3.05260e+00
9.90,3.01535e+00
9.91,3.05269e+00
9.92,3.15474e+00
9.93,3.21896e+00
9.94,3.21614e+00
9.95,3.25485e+00
9.96,4.58309e+00
9.97,8.30813e+00
9.98,9.54409e+00
9.99,6.03484e+00
10.00,3.96075e+00
10.01,5.39270e+00
10.02,8.77289e+00
10.03,8.67380e+00
10.04,5.18413e+00
10.05,3.30140e+00
10.06,3.02527e+00
10.07,3.10249e+00
10.08,3.22892e+00
10.09,4.15586e+00
10.10,7.82485e+00
10.11,1.13231e+01
10.12,8.73417e+00
10.13,4.83112e+00
10.14,3.55240e+00
10.15,3.31578e+00
10.16,3.35241e+00
10.17,3.37967e+00
10.18,3.22447e+00
10.19,3.04217e+00
10.20,3.08382e+00
10.21,5.49096e+00
10.22,2.71286e+01
10.23,9.32838e+01
10.24,1.33444e+02
10.25,7.57698e+01
10.26,1.87292e+01
10.27,4.53106e+00
10.28,3.43484e+00
10.29,3.31310e+00
10.30,3.13801e+00
10.31,3.06907e+00
10.32,3.08135e+00
10.33,3.59292e+00
10.34,5.67106e+00
10.35,8.01589e+00
10.36,6.88555e+00
10.37,4.12288e+00
10.38,4.16528e+00
10.39,5.52399e+00
10.40,5.05590e+00
10.41,3.76245e+00
10.42,4.58463e+00
10.43,6.82849e+00
10.44,6.81535e+00
10.45,5.22930e+00
10.46,4.53616e+00
10.47,4.08309e+00
10.48,4.08421e+00
10.49,5.84337e+00
10.50,8.99891e+00
10.51,1.06591e+01
10.52,1.11366e+01
10.53,9.62875e+00
10.54,6.42011e+00
10.55,4.81210e+00
10.56,4.28973e+00
10.57,3.81440e+00
10.58,3.34733e+00
10.59,3.08681e+00
10.60,3.11183e+00
10.61,3.47334e+00
10.62,4.75432e+00
10.63,6.69631e+00
10.64,8.03115e+00
10.65,9.63903e+00
10.66,9.46120e+00
10.67,6.49504e+00
